Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire,Column1
1,SC Ganguly,26488,Left_Hand,Right-arm medium,India,0,
2,BB McCullum,29856,Right_Hand,Right-arm medium,New Zealand,0,
3,RT Ponting,27382,Right_Hand,Right-arm medium,Australia,0,
4,DJ Hussey,28321,Right_Hand,Right-arm offbreak,Australia,0,
5,Mohammad Hafeez,29511,Right_Hand,Right-arm offbreak,Pakistan,0,
6,R Dravid,26675,Right_Hand,Right-arm offbreak,India,0,
7,W Jaffer,28537,Right_Hand,Right-arm offbreak,India,0,
8,V Kohli,32452,Right_Hand,Right-arm medium,India,0,
9,JH Kallis,27683,Right_Hand,Right-arm fast-medium,South Africa,0,
10,CL White,30546,Right_Hand,Legbreak googly,Australia,0,
11,MV Boucher,28097,Right_Hand,Right-arm medium,South Africa,0,
12,B Akhil,28405,Right_Hand,Right-arm medium-fast,India,0,
13,AA Noffke,28245,Right_Hand,Right-arm fast-medium,Australia,0,
14,P Kumar,31687,Right_Hand,Right-arm medium,India,0,
15,Z Khan,28770,Right_Hand,Left-arm fast-medium,India,0,
16,SB Joshi,25725,Left_Hand,Slow left-arm orthodox,India,0,
17,PA Patel,31115,Left_Hand,NULL,India,0,
18,ML Hayden,26235,Left_Hand,Right-arm medium,Australia,0,
19,MEK Hussey,27541,Left_Hand,Right-arm medium,Australia,0,
20,MS Dhoni,29774,Right_Hand,Right-arm medium,India,0,
21,SK Raina,31743,Left_Hand,Right-arm offbreak,India,0,
22,JDP Oram,28699,Left_Hand,Right-arm fast-medium,New Zealand,0,
23,S Badrinath,29463,Right_Hand,Right-arm offbreak,India,0,
24,K Goel,31770,Left_Hand,Right-arm offbreak,India,0,
25,JR Hopes,28787,Right_Hand,Right-arm medium,Australia,0,
26,KC Sangakkara,28425,Left_Hand,Right-arm offbreak,Sri Lanka,0,
27,Yuvraj Singh,29932,Left_Hand,Slow left-arm orthodox,India,0,
28,SM Katich,27627,Left_Hand,Slow left-arm chinaman,Australia,0,
29,IK Pathan,30982,Left_Hand,Left-arm medium-fast,India,0,
30,T Kohli,32494,Right_Hand,Right-arm medium,India,0,
31,YK Pathan,30272,Right_Hand,Right-arm offbreak,India,0,
